"Subject"	"Stimuli"	"Trustworthy"	"Face_trust"	"RT"	"Trust"
14189	4	0.5	3.578313253	1.74313290953069	1
14189	44	0.5	3.125	2.89839155972732	1
14189	62	-0.5	2.825581395	0.968697588465147	0
14189	32	0.5	3.488636364	0.882259814883582	1
14189	14	0.5	3.321428571	1.41081075533293	1
14189	57	-0.5	2.896551724	0.917898499817966	0
14189	20	0.5	3.80952381	1.24341265842304	0
14189	7	-0.5	3.88172043	1.26199891013675	1
14189	1	-0.5	3.302083333	1.45132534763252	1
14189	60	0.5	3.266666667	1.41459117264822	1
14189	10	0.5	3.510869565	1.18004009844299	1
14189	38	-0.5	3.390804598	1.75311547570891	0
14189	12	-0.5	3.056818182	1.06077569568151	0
14189	55	0.5	3.083333333	1.73020619314411	0
14189	15	-0.5	3.494505495	5.21268762212276	1
14189	31	0.5	3.29787234	2.73877710336455	0
14189	9	-0.5	4.010869565	1.10930832168378	1
14189	3	0.5	4.054945055	2.97461601567556	0
14189	28	-0.5	3.068181818	0.898067448284564	0
14189	49	-0.5	3.285714286	1.29566379281459	1
14189	61	0.5	3.592592593	1.09591944026397	0
14189	8	-0.5	3.430232558	2.07344749295225	1
14189	19	-0.5	3.315217391	1.25986553513576	0
14189	35	0.5	3.090909091	0.337267584949586	0
14189	37	-0.5	3.071428571	1.20998283103472	0
14189	48	-0.5	3.130434783	0.4383688355083	0
14189	17	0.5	3.95505618	1.6310572256989	0
14189	64	-0.5	2.827586207	1.00966275856626	0
14189	27	0.5	3.540229885	1.98701269894445	1
14189	18	-0.5	3.209302326	0.925430200826668	1
14189	59	0.5	3.259259259	1.9688541816322	1
14189	5	-0.5	3.776595745	0.851035203337233	1
14189	2	0.5	3.215053763	1.19740108311089	1
14189	16	-0.5	3.359550562	1.22062553839351	0
14189	51	0.5	4.214285714	2.91613856476033	1
14189	45	-0.5	3.346153846	0.490533231190057	1
14189	56	0.5	3.333333333	2.7627832002363	0
14189	40	-0.5	3.563218391	1.24223969944796	0
14189	23	0.5	3.436170213	1.78080035331004	1
14189	52	-0.5	3.4	1.41847223335208	1
14189	50	0.5	3.392857143	0.873388298750797	1
14189	41	0.5	3.896551724	0.840763618474739	0
14206	10	-0.5	3.510869565	5.64694049704849	1
14206	16	0.5	3.359550562	4.5879467223931	1
14206	62	0.5	2.825581395	2.04416637201939	1
14206	35	-0.5	3.090909091	1.27849011903891	1
14206	27	0.5	3.540229885	1.49074375710916	1
14206	26	-0.5	3.081395349	1.31009986241042	1
